   8.3748291e-01   2.2413706e-01   0.0000000e+00   7.5080155e-02   6.2683908e-01   1.1649535e+00   1.0005672e+00
   1.0005672e+00   8.3748291e-01   2.2413706e-01   3.5160690e-01   7.5080155e-02   6.2683908e-01   6.0300113e-01
   6.0300113e-01   1.0005672e+00   8.3748291e-01  -6.9651254e-01   3.5160690e-01   7.5080155e-02   1.1858125e-01
   1.1858125e-01   6.0300113e-01   1.0005672e+00   1.6961425e+00  -6.9651254e-01   3.5160690e-01  -5.4603145e-02
  -5.4603145e-02   1.1858125e-01   6.0300113e-01   5.9059778e-02   1.6961425e+00  -6.9651254e-01   6.7834508e-01
   6.7834508e-01  -5.4603145e-02   1.1858125e-01   1.7970718e+00   5.9059778e-02   1.6961425e+00   1.1482616e+00
   1.1482616e+00   6.7834508e-01  -5.4603145e-02   2.6406853e-01   1.7970718e+00   5.9059778e-02   1.4925416e+00
   1.4925416e+00   1.1482616e+00   6.7834508e-01   8.7167329e-01   2.6406853e-01   1.7970718e+00   1.1980356e+00
   1.1980356e+00   1.4925416e+00   1.1482616e+00  -1.4461715e+00   8.7167329e-01   2.6406853e-01   5.1751265e-01
   5.1751265e-01   1.1980356e+00   1.4925416e+00  -7.0116535e-01  -1.4461715e+00   8.7167329e-01  -7.2080848e-01
  -7.2080848e-01   5.1751265e-01   1.1980356e+00   1.2459821e+00  -7.0116535e-01  -1.4461715e+00  -9.4989123e-01
  -9.4989123e-01  -7.2080848e-01   5.1751265e-01  -6.3897700e-01   1.2459821e+00  -7.0116535e-01   1.1948529e-03
   1.1948529e-03  -9.4989123e-01  -7.2080848e-01   5.7735022e-01  -6.3897700e-01   1.2459821e+00   3.5498234e-01
   3.5498234e-01   1.1948529e-03  -9.4989123e-01  -3.6002963e-01   5.7735022e-01  -6.3897700e-01   3.3072672e-01
   3.3072672e-01   3.5498234e-01   1.1948529e-03  -1.3557629e-01  -3.6002963e-01   5.7735022e-01  -4.7092521e-02
  -4.7092521e-02   3.3072672e-01   3.5498234e-01  -1.3493385e+00  -1.3557629e-01  -3.6002963e-01  -5.2561107e-01
  -5.2561107e-01  -4.7092521e-02   3.3072672e-01  -1.2704499e+00  -1.3493385e+00  -1.3557629e-01  -1.2521121e+00
  -1.2521121e+00  -5.2561107e-01  -4.7092521e-02   9.8457027e-01  -1.2704499e+00  -1.3493385e+00  -1.3036986e+00
